h^0:
2 0 1       1
h^1:
2 1 1   0 1    1
h^2:
2 4 1   0 3 4 5 1 5 2 4    -8*w_4_119+8*w_4_109+4*w_4_100+8*w_4_101-4*w_4_104+8*w_4_103+8*w_4_102-4*w_4_107-4*w_4_108
2 4 1   0 3 2 4 1 5 2 4    1/360-16*w_4_109-48*w_4_104+32*w_4_103-16*w_4_102
2 4 1   0 3 2 4 1 5 3 4    7/90-16*w_4_109+8*w_4_101-40*w_4_104+40*w_4_103+12*w_4_108
2 4 1   0 3 2 4 2 5 1 4    7/90-16*w_4_109+8*w_4_101-40*w_4_104+40*w_4_103+12*w_4_108
2 4 1   0 3 2 4 2 5 1 3    13/360-8*w_4_109+8*w_4_100-8*w_4_101-32*w_4_104+24*w_4_103+4*w_4_108
2 4 1   0 3 4 5 1 3 2 4    -13/360+8*w_4_109-8*w_4_100+8*w_4_101+32*w_4_104-24*w_4_103-4*w_4_108
2 4 1   0 3 2 4 3 5 1 3    1/20-8*w_4_109-8*w_4_101-16*w_4_104+24*w_4_103+8*w_4_108
2 4 1   0 3 4 5 1 3 2 3    -1/20+8*w_4_109+8*w_4_101+16*w_4_104-24*w_4_103-8*w_4_108
2 4 1   0 3 2 4 3 5 1 4    11/120-16*w_4_109-16*w_4_104+32*w_4_103+16*w_4_108
2 4 1   0 3 4 5 1 5 2 3    -11/180-16*w_4_119+16*w_4_109+8*w_4_100+8*w_4_104-8*w_4_107-16*w_4_108
2 4 1   0 1 1 2 2 3 2 3    -1/12-8*w_4_108
2 4 1   0 1 1 2 2 3 2 4    16*w_4_103
2 4 1   0 1 1 2 2 3 3 4    13/180+8*w_4_100-24*w_4_104-8*w_4_107
2 4 1   0 1 1 2 2 5 3 4    -1/90+8*w_4_100-24*w_4_104-16*w_4_103-8*w_4_107-8*w_4_108
2 4 1   0 1 1 4 2 3 2 3    -11/90+8*w_4_100-40*w_4_104+16*w_4_103-8*w_4_107-24*w_4_108
2 4 1   0 1 1 4 2 3 2 4    16*w_4_104
2 4 1   0 1 1 4 2 3 3 4    1/12+8*w_4_108
2 4 1   0 1 1 4 2 5 2 3    16*w_4_103
2 4 1   0 1 1 4 2 5 2 4    1/90-8*w_4_100+24*w_4_104+8*w_4_107+8*w_4_108
2 4 1   0 1 1 4 2 5 3 4    -16*w_4_103
2 4 1   0 1 1 4 3 5 2 3    1/36+16*w_4_104-16*w_4_103+8*w_4_108
2 4 1   0 1 1 4 3 5 2 4    -16*w_4_104
2 4 1   0 3 1 4 1 2 3 4    1/5-32*w_4_109+16*w_4_100-48*w_4_104-32*w_4_125+48*w_4_108
2 4 1   0 3 1 4 1 2 2 3    -1/30+8*w_4_100-8*w_4_104-32*w_4_103-8*w_4_107-32*w_4_125-8*w_4_108
2 4 1   0 3 1 4 1 2 2 4    -1/180+16*w_4_109+16*w_4_104+16*w_4_103+32*w_4_125-8*w_4_108
2 4 1   0 3 1 2 1 3 3 4    -1/6+32*w_4_109+64*w_4_104-64*w_4_103-32*w_4_108
2 4 1   0 3 1 2 1 3 2 4    -1/15+32*w_4_109-24*w_4_100+72*w_4_104-48*w_4_103-8*w_4_107-24*w_4_108
2 4 1   0 3 1 2 1 3 2 3    1/12+8*w_4_108
2 4 1   0 3 4 5 1 2 1 4    -3/20-16*w_4_119+32*w_4_109+8*w_4_100+40*w_4_104-16*w_4_103-8*w_4_107-32*w_4_108
2 4 1   0 3 2 4 1 5 1 2    -1/90+16*w_4_109+8*w_4_100+24*w_4_104-16*w_4_103+16*w_4_102-8*w_4_107-8*w_4_108
2 4 1   0 3 2 4 1 2 1 4    1/36+16*w_4_104-16*w_4_103+8*w_4_108
2 4 1   0 3 1 4 1 5 2 3    7/180+16*w_4_119-16*w_4_109+8*w_4_100-8*w_4_104-16*w_4_103+8*w_4_107+16*w_4_108
2 4 1   0 3 1 4 2 5 1 3    -16*w_4_100
2 4 1   0 3 2 4 1 5 1 3    -16*w_4_101
2 4 1   0 3 1 4 1 5 2 4    -16*w_4_102
2 4 1   0 3 1 4 2 3 1 3    -16*w_4_103
2 4 1   0 3 2 4 1 3 1 4    -16*w_4_104
2 4 1   0 3 1 2 1 2 2 3    -16*w_4_108
2 4 1   0 3 1 2 1 2 3 4    16*w_4_109
2 4 1   0 3 1 2 1 2 2 4    -1/18+16*w_4_109+32*w_4_104-32*w_4_103-16*w_4_108
2 4 1   0 3 1 2 1 5 2 3    17/180-16*w_4_109+8*w_4_100-40*w_4_104+32*w_4_103+8*w_4_107+16*w_4_108
2 4 1   0 3 1 2 1 5 3 4    -7/36+32*w_4_109+64*w_4_104-64*w_4_103-32*w_4_108
2 4 1   0 3 1 2 1 5 2 4    -1/12+16*w_4_109+32*w_4_104-32*w_4_103-16*w_4_108
2 4 1   0 3 1 4 2 5 1 2    -16*w_4_119
2 4 1   0 3 1 4 3 5 1 2    1/6-16*w_4_109+16*w_4_100-32*w_4_103+16*w_4_102+32*w_4_108
2 4 1   0 3 1 4 2 3 1 2    -1/18-32*w_4_104+32*w_4_103-16*w_4_108
2 4 1   0 3 2 4 1 2 1 2    32*w_4_103
2 4 1   0 3 2 4 1 2 1 3    7/180-16*w_4_109-8*w_4_100-8*w_4_104+16*w_4_103+8*w_4_107+16*w_4_108
2 4 1   0 3 1 4 2 3 1 4    1/9-16*w_4_109+16*w_4_100-32*w_4_104+16*w_4_103+16*w_4_108
2 4 1   0 3 4 5 1 2 1 3    -1/9+16*w_4_109+16*w_4_101+48*w_4_104-32*w_4_103-16*w_4_108
2 4 1   0 3 1 4 2 5 1 4    1/9-16*w_4_109+16*w_4_101-48*w_4_104+32*w_4_103+16*w_4_108
2 4 1   0 3 2 4 1 3 1 2    32*w_4_104
2 4 1   0 3 2 4 1 3 1 3    1/9-16*w_4_109-32*w_4_104+32*w_4_103+16*w_4_108
2 4 1   0 1 0 2 2 3 2 3    1/12+8*w_4_108
2 4 1   0 1 0 2 2 3 2 4    -16*w_4_103
2 4 1   0 1 0 2 2 3 3 4    -13/180-8*w_4_100+24*w_4_104+8*w_4_107
2 4 1   0 1 0 2 2 5 3 4    1/90-8*w_4_100+24*w_4_104+16*w_4_103+8*w_4_107+8*w_4_108
2 4 1   0 1 0 4 2 3 2 3    11/90-8*w_4_100+40*w_4_104-16*w_4_103+8*w_4_107+24*w_4_108
2 4 1   0 1 0 4 2 3 2 4    -16*w_4_104
2 4 1   0 1 0 4 2 3 3 4    -1/12-8*w_4_108
2 4 1   0 1 0 4 2 5 2 3    -16*w_4_103
2 4 1   0 1 0 4 2 5 2 4    -1/90+8*w_4_100-24*w_4_104-8*w_4_107-8*w_4_108
2 4 1   0 1 0 4 2 5 3 4    16*w_4_103
2 4 1   0 1 0 4 3 5 2 3    -1/36-16*w_4_104+16*w_4_103-8*w_4_108
2 4 1   0 1 0 4 3 5 2 4    16*w_4_104
2 4 1   0 3 0 4 1 2 2 3    1/5-32*w_4_109+16*w_4_100-48*w_4_104-32*w_4_125+48*w_4_108
2 4 1   0 3 0 4 1 2 2 4    1/30-8*w_4_100+8*w_4_104+32*w_4_103+8*w_4_107+32*w_4_125+8*w_4_108
2 4 1   0 3 0 4 1 2 3 4    1/180-16*w_4_109-16*w_4_104-16*w_4_103-32*w_4_125+8*w_4_108
2 4 1   0 3 0 4 1 3 2 3    1/6-32*w_4_109-64*w_4_104+64*w_4_103+32*w_4_108
2 4 1   0 3 0 4 1 3 2 4    1/15-32*w_4_109+24*w_4_100-72*w_4_104+48*w_4_103+8*w_4_107+24*w_4_108
2 4 1   0 3 0 4 1 3 3 4    -1/12-8*w_4_108
2 4 1   0 3 0 4 1 5 2 3    3/20+16*w_4_119-32*w_4_109-8*w_4_100-40*w_4_104+16*w_4_103+8*w_4_107+32*w_4_108
2 4 1   0 3 0 4 1 5 2 4    1/90-16*w_4_109-8*w_4_100-24*w_4_104+16*w_4_103-16*w_4_102+8*w_4_107+8*w_4_108
2 4 1   0 3 0 4 1 5 3 4    -1/36-16*w_4_104+16*w_4_103-8*w_4_108
2 4 1   0 3 0 4 2 5 1 2    -7/180-16*w_4_119+16*w_4_109-8*w_4_100+8*w_4_104+16*w_4_103-8*w_4_107-16*w_4_108
2 4 1   0 3 0 4 2 5 1 3    16*w_4_100
2 4 1   0 3 0 4 2 5 1 4    16*w_4_101
2 4 1   0 3 0 4 3 5 1 2    16*w_4_102
2 4 1   0 3 0 4 3 5 1 3    16*w_4_103
2 4 1   0 3 0 4 3 5 1 4    16*w_4_104
2 4 1   0 3 1 2 0 3 2 3    16*w_4_108
2 4 1   0 3 1 2 0 3 2 4    16*w_4_109
2 4 1   0 3 1 2 0 3 3 4    -1/18+16*w_4_109+32*w_4_104-32*w_4_103-16*w_4_108
2 4 1   0 3 1 2 0 5 2 3    -17/180+16*w_4_109-8*w_4_100+40*w_4_104-32*w_4_103-8*w_4_107-16*w_4_108
