h^0:
2 0 1       1
h^1:
2 1 1   0 1    1
h^2:
2 4 1   0 1 0 4 3 5 2 3    -1/36-16*w_4_104+16*w_4_103-8*w_4_108
2 4 1   0 1 0 4 3 5 2 4    16*w_4_104
2 4 1   0 3 0 4 1 2 2 3    1/5-48*w_4_104-32*w_4_125+48*w_4_108-32*w_4_109+16*w_4_100-g_4_14
2 4 1   0 3 0 4 1 2 2 4    1/30+8*w_4_104+32*w_4_103+8*w_4_107+32*w_4_125+8*w_4_108-8*w_4_100+g_4_14
2 4 1   0 3 0 4 1 2 3 4    1/180-16*w_4_104-16*w_4_103-32*w_4_125+8*w_4_108-16*w_4_109-g_4_14
2 4 1   0 3 0 4 1 3 2 3    1/6-64*w_4_104+g_4_5+64*w_4_103+32*w_4_108-32*w_4_109
2 4 1   0 3 0 4 1 3 2 4    1/15-72*w_4_104+48*w_4_103+8*w_4_107+g_4_6+24*w_4_108-32*w_4_109+24*w_4_100
2 4 1   0 3 0 4 1 3 3 4    -1/12-8*w_4_108-g_4_4
2 4 1   0 3 0 4 1 5 2 3    3/20-40*w_4_104+16*w_4_103+8*w_4_107-g_4_16+32*w_4_108+16*w_4_119-32*w_4_109-8*w_4_100
2 4 1   0 3 0 4 1 5 2 4    1/90-24*w_4_104+16*w_4_103+8*w_4_107+8*w_4_108-16*w_4_102-16*w_4_109-g_4_17-8*w_4_100
2 4 1   0 3 0 4 1 5 3 4    -1/36-16*w_4_104-g_4_18+16*w_4_103-8*w_4_108
2 4 1   0 3 0 4 2 5 1 2    -7/180+8*w_4_104+16*w_4_103-8*w_4_107+g_4_16-16*w_4_108-16*w_4_119+16*w_4_109-8*w_4_100
2 4 1   0 3 0 4 2 5 1 3    16*w_4_100
2 4 1   0 3 0 4 2 5 1 4    16*w_4_101-g_4_24
2 4 1   0 3 0 4 3 5 1 2    16*w_4_102+g_4_17
2 4 1   0 3 0 4 3 5 1 3    16*w_4_103+g_4_19
2 4 1   0 3 0 4 3 5 1 4    16*w_4_104-g_4_28
2 4 1   0 3 1 2 0 3 2 3    16*w_4_108+g_4_4
2 4 1   0 3 1 2 0 3 2 4    -g_4_6+16*w_4_109
2 4 1   0 3 1 2 0 3 3 4    -1/18+32*w_4_104-g_4_5-32*w_4_103-16*w_4_108+16*w_4_109
2 4 1   0 3 1 2 0 5 2 3    -17/180+40*w_4_104-32*w_4_103-8*w_4_107-16*w_4_108+16*w_4_109-8*w_4_100
2 4 1   0 3 1 2 0 5 2 4    -7/36-g_4_8+64*w_4_104-64*w_4_103-32*w_4_108+32*w_4_109
2 4 1   0 3 1 2 0 5 3 4    -1/12-g_4_8+32*w_4_104-32*w_4_103-16*w_4_108+16*w_4_109
2 4 1   0 3 1 4 0 5 2 3    -g_4_16+16*w_4_119
2 4 1   0 3 1 4 0 5 2 4    -1/6+32*w_4_103-32*w_4_108-16*w_4_102+16*w_4_109-g_4_17-16*w_4_100
2 4 1   0 3 1 4 0 5 3 4    -1/18-32*w_4_104-g_4_18+32*w_4_103-16*w_4_108
2 4 1   0 3 1 4 2 3 0 3    -32*w_4_103-g_4_19
2 4 1   0 3 1 4 2 3 0 4    -7/180+8*w_4_104-16*w_4_103-8*w_4_107-16*w_4_108-g_4_20+16*w_4_109+8*w_4_100
2 4 1   0 3 2 4 1 2 0 3    -1/9+32*w_4_104-16*w_4_103-16*w_4_108+g_4_20+16*w_4_109-16*w_4_100
2 4 1   0 3 1 4 2 5 0 4    -1/9+16*w_4_101+48*w_4_104-32*w_4_103-16*w_4_108+16*w_4_109-g_4_24
2 4 1   0 3 2 4 1 5 0 3    -1/9-16*w_4_101+48*w_4_104-32*w_4_103-16*w_4_108+16*w_4_109+g_4_24
2 4 1   0 3 1 4 3 5 0 4    32*w_4_104-g_4_28
2 4 1   0 3 2 4 1 3 0 3    -1/9+32*w_4_104-32*w_4_103-16*w_4_108+16*w_4_109
2 4 1   0 3 0 2 1 2 2 3    -g_4_4
2 4 1   0 3 0 2 1 2 2 4    -g_4_5
2 4 1   0 3 0 2 1 2 3 4    -g_4_6
2 4 1   0 3 0 2 1 5 2 4    -g_4_8
2 4 1   0 3 0 4 2 3 1 2    -g_4_18
2 4 1   0 3 0 4 2 3 1 3    -g_4_19
2 4 1   0 3 0 4 2 3 1 4    -g_4_20
2 4 1   0 3 2 4 0 3 1 2    -g_4_28
2 4 1   0 1 0 4 1 3 3 4    -1/6
2 4 1   0 3 1 2 0 5 1 4    1/72-4*g_4_7
2 4 1   0 1 0 1 2 3 2 3    17/90+24*w_4_108
2 4 1   0 1 0 1 2 3 2 4    49/180-48*w_4_104-16*w_4_107+24*w_4_108
2 4 1   0 1 0 1 2 5 3 4    -1/12+48*w_4_104+16*w_4_107
2 4 1   0 1 0 2 1 2 2 3    2/45
2 4 1   0 1 0 2 1 2 2 4    -2/45
2 4 1   0 1 0 2 1 2 3 4    53/90-240*w_4_104+192*w_4_103-16*w_4_107+96*w_4_108-96*w_4_109+48*w_4_100
2 4 1   0 1 0 2 1 3 2 3    -1/60-24*w_4_108
2 4 1   0 1 0 4 1 2 2 4    1/60+24*w_4_108
2 4 1   0 1 0 2 1 3 2 4    -49/90+168*w_4_104-144*w_4_103+24*w_4_107-72*w_4_108+48*w_4_109-24*w_4_100
2 4 1   0 1 0 4 1 2 2 3    49/90-168*w_4_104+144*w_4_103-24*w_4_107+72*w_4_108-48*w_4_109+24*w_4_100
2 4 1   0 1 0 2 1 3 3 4    2/9-96*w_4_104+96*w_4_103+48*w_4_108-48*w_4_109
2 4 1   0 1 0 4 1 2 3 4    2/9-96*w_4_104+96*w_4_103+48*w_4_108-48*w_4_109
2 4 1   0 1 0 2 1 5 2 3    61/180-120*w_4_104+96*w_4_103-8*w_4_107+48*w_4_108-48*w_4_109+24*w_4_100
2 4 1   0 1 0 4 2 5 1 2    -61/180+120*w_4_104-96*w_4_103+8*w_4_107-48*w_4_108+48*w_4_109-24*w_4_100
2 4 1   0 1 0 2 1 5 2 4    1/90
2 4 1   0 1 0 4 2 3 1 2    -1/90
2 4 1   0 1 0 2 1 5 3 4    5/18-96*w_4_104+96*w_4_103+48*w_4_108-48*w_4_109
2 4 1   0 1 0 4 3 5 1 2    5/18-96*w_4_104+96*w_4_103+48*w_4_108-48*w_4_109
2 4 1   0 1 0 4 1 3 2 3    37/90-96*w_4_104+96*w_4_103-16*w_4_107+48*w_4_108-48*w_4_109
2 4 1   0 1 0 4 1 3 2 4    -37/90+96*w_4_104-96*w_4_103+16*w_4_107-48*w_4_108+48*w_4_109
2 4 1   0 1 0 4 1 5 2 3    34/45-288*w_4_104+240*w_4_103-32*w_4_107+96*w_4_108-96*w_4_109
2 4 1   0 1 0 4 2 5 1 3    -34/45+288*w_4_104-240*w_4_103+32*w_4_107-96*w_4_108+96*w_4_109
2 4 1   0 1 0 4 1 5 2 4    7/90-48*w_4_104-16*w_4_107
2 4 1   0 1 0 4 2 3 1 3    -7/90+48*w_4_104+16*w_4_107
2 4 1   0 1 0 4 2 3 1 4    4/15-96*w_4_104+96*w_4_103+48*w_4_108-48*w_4_109
2 4 1   0 1 0 4 2 5 1 4    -4/15+96*w_4_104-96*w_4_103-48*w_4_108+48*w_4_109
2 4 1   0 3 0 4 1 2 1 2    4/45-48*w_4_104+48*w_4_103-16*w_4_107-g_4_13
2 4 1   0 3 1 4 1 2 0 3    4/45-48*w_4_104+48*w_4_103-16*w_4_107-g_4_13
2 4 1   0 3 0 4 1 2 1 3    -1/9+48*w_4_104-48*w_4_103+16*w_4_107-g_4_13
2 4 1   0 3 1 4 0 5 1 3    -1/9+48*w_4_104-48*w_4_103+16*w_4_107-g_4_13
2 4 1   0 3 0 4 1 2 1 4    -1/90-g_4_13
2 4 1   0 3 0 4 1 5 1 3    -1/90-g_4_13
2 4 1   0 3 0 4 1 3 1 2    4/45-16*w_4_107-g_4_3
2 4 1   0 3 1 2 0 5 1 3    4/45-16*w_4_107-g_4_3
2 4 1   0 3 0 4 1 3 1 3    1/30-2*g_4_1
2 4 1   0 3 1 2 0 3 1 3    1/30-2*g_4_1
2 4 1   0 3 0 4 1 3 1 4    -1/90-2*g_4_2
2 4 1   0 3 0 4 1 5 1 2    17/90-96*w_4_104+96*w_4_103-4*g_4_15-32*w_4_107
2 4 1   0 3 1 2 0 3 1 2    13/90-2*g_4_2
2 4 1   0 3 1 2 0 3 1 4    16*w_4_107-g_4_3
2 4 1   0 3 1 2 0 5 1 2    16*w_4_107-g_4_3
2 4 1   0 3 1 4 0 5 1 2    -31/180+96*w_4_104-96*w_4_103-2*g_4_15+32*w_4_107
2 4 1   0 3 0 2 1 2 1 2    -g_4_1
2 4 1   0 3 1 4 1 3 0 3    -g_4_1
2 4 1   0 3 0 2 1 2 1 3    -g_4_2
2 4 1   0 3 1 4 1 3 0 4    -g_4_2
2 4 1   0 3 0 2 1 2 1 4    -g_4_3
2 4 1   0 3 0 4 1 5 1 4    -g_4_3
2 4 1   0 3 0 2 1 5 1 4    -2*g_4_7
