h^0:
2 0 1       1
h^1:
2 1 1   0 1    1
h^2:
2 4 1   0 3 1 4 2 5 2 3    w_4_279
2 4 1   0 3 1 4 2 5 2 4    w_4_280
2 4 1   0 3 1 4 2 5 3 4    w_4_281
2 4 1   0 3 1 4 3 5 0 4    w_4_282
2 4 1   0 3 1 4 3 5 1 2    w_4_283
2 4 1   0 3 1 4 3 5 1 3    w_4_284
2 4 1   0 3 1 4 3 5 1 4    w_4_285
2 4 1   0 3 1 4 3 5 2 3    w_4_286
2 4 1   0 3 1 4 3 5 2 4    w_4_287
2 4 1   0 3 1 4 3 5 3 4    w_4_288
2 4 1   0 3 2 4 0 3 1 2    w_4_289
2 4 1   0 3 2 4 1 2 0 3    w_4_290
2 4 1   0 3 2 4 1 2 1 2    w_4_291
2 4 1   0 3 2 4 1 2 1 3    w_4_292
2 4 1   0 3 2 4 1 2 1 4    w_4_293
2 4 1   0 3 2 4 1 2 2 3    w_4_294
2 4 1   0 3 2 4 1 2 2 4    w_4_295
2 4 1   0 3 2 4 1 2 3 4    w_4_296
2 4 1   0 3 2 4 1 3 0 3    w_4_297
2 4 1   0 3 2 4 1 3 1 2    w_4_298
2 4 1   0 3 2 4 1 3 1 3    w_4_299
2 4 1   0 3 2 4 1 3 1 4    w_4_300
2 4 1   0 3 2 4 1 3 2 3    w_4_301
2 4 1   0 3 2 4 1 3 2 4    w_4_302
2 4 1   0 3 2 4 1 3 3 4    w_4_303
2 4 1   0 3 2 4 1 5 0 3    w_4_304
2 4 1   0 3 2 4 1 5 1 2    w_4_305
2 4 1   0 3 2 4 1 5 1 3    w_4_306
2 4 1   0 3 2 4 1 5 1 4    w_4_307
2 4 1   0 3 2 4 1 5 2 3    w_4_308
2 4 1   0 3 2 4 1 5 2 4    w_4_309
2 4 1   0 3 2 4 1 5 3 4    w_4_310
2 4 1   0 3 2 4 2 3 1 2    w_4_311
2 4 1   0 3 2 4 2 3 1 3    w_4_312
2 4 1   0 3 2 4 2 3 1 4    w_4_313
2 4 1   0 3 2 4 2 5 1 2    w_4_314
2 4 1   0 3 2 4 2 5 1 3    w_4_315
2 4 1   0 3 2 4 2 5 1 4    w_4_316
2 4 1   0 3 2 4 3 5 1 2    w_4_317
2 4 1   0 3 2 4 3 5 1 3    w_4_318
2 4 1   0 3 2 4 3 5 1 4    w_4_319
2 4 1   0 3 4 5 1 2 1 3    w_4_320
2 4 1   0 3 4 5 1 2 1 4    w_4_321
2 4 1   0 3 4 5 1 2 2 3    w_4_322
2 4 1   0 3 4 5 1 2 2 4    w_4_323
2 4 1   0 3 4 5 1 2 3 4    w_4_324
2 4 1   0 3 4 5 1 3 1 4    w_4_325
2 4 1   0 3 4 5 1 3 2 3    w_4_326
2 4 1   0 3 4 5 1 3 2 4    w_4_327
2 4 1   0 3 4 5 1 3 3 4    w_4_328
2 4 1   0 3 4 5 1 5 2 3    w_4_329
2 4 1   0 3 4 5 1 5 2 4    w_4_330
2 4 1   0 3 4 5 1 5 3 4    w_4_331
