h^0:
# 0 0 
2 0 1       1
h^1:
# 1 1 
2 1 1   0 1    1
2 4 1   0 1 0 2 1 2 2 3    16*w_4_24
2 4 -1   0 1 0 2 1 2 2 4    16*w_4_24
2 4 1   0 1 0 2 1 2 3 4    16*w_4_25
2 4 1   0 1 0 2 1 3 2 3    16*w_4_28
2 4 -1   0 1 0 4 1 2 2 4    16*w_4_28
2 4 1   0 1 0 2 1 3 2 4    16*w_4_29
2 4 -1   0 1 0 4 1 2 2 3    16*w_4_29
2 4 1   0 1 0 2 1 3 3 4    16*w_4_30
2 4 1   0 1 0 4 1 2 3 4    16*w_4_30
2 4 1   0 1 0 2 1 5 2 3    16*w_4_31
2 4 -1   0 1 0 4 2 5 1 2    16*w_4_31
2 4 1   0 1 0 2 1 5 2 4    16*w_4_32
2 4 -1   0 1 0 4 2 3 1 2    16*w_4_32
2 4 1   0 1 0 2 1 5 3 4    16*w_4_33
2 4 1   0 1 0 4 3 5 1 2    16*w_4_33
2 4 1   0 1 0 4 1 3 2 3    16*w_4_43
2 4 -1   0 1 0 4 1 3 2 4    16*w_4_43
2 4 1   0 1 0 4 1 5 2 3    16*w_4_44
2 4 -1   0 1 0 4 2 5 1 3    16*w_4_44
2 4 1   0 1 0 4 1 5 2 4    16*w_4_45
2 4 -1   0 1 0 4 2 3 1 3    16*w_4_45
2 4 1   0 1 0 4 2 3 1 4    16*w_4_47
2 4 -1   0 1 0 4 2 5 1 4    16*w_4_47
2 4 1   0 3 0 2 1 2 1 2    8*w_4_64
2 4 1   0 3 1 4 1 3 0 3    8*w_4_64
2 4 1   0 3 0 2 1 2 1 3    8*w_4_65
2 4 1   0 3 1 4 1 3 0 4    8*w_4_65
2 4 1   0 3 0 2 1 2 1 4    16*w_4_66
2 4 1   0 3 0 4 1 5 1 4    16*w_4_66
2 4 1   0 3 0 4 1 2 1 2    16*w_4_77
2 4 1   0 3 1 4 1 2 0 3    16*w_4_77
2 4 1   0 3 0 4 1 2 1 3    16*w_4_78
2 4 1   0 3 1 4 0 5 1 3    16*w_4_78
2 4 1   0 3 0 4 1 2 1 4    16*w_4_79
2 4 1   0 3 0 4 1 5 1 3    16*w_4_79
2 4 1   0 3 0 4 1 3 1 2    16*w_4_85
2 4 1   0 3 1 2 0 5 1 3    16*w_4_85
2 4 1   0 3 0 4 1 3 1 3    16*w_4_86
2 4 1   0 3 1 2 0 3 1 3    16*w_4_86
2 4 1   0 3 0 4 1 3 1 4    16*w_4_87
2 4 1   0 3 0 4 1 5 1 2    16*w_4_92
2 4 1   0 3 1 2 0 3 1 2    16*w_4_106
2 4 1   0 3 1 2 0 3 1 4    16*w_4_107
2 4 1   0 3 1 2 0 5 1 2    16*w_4_107
2 4 1   0 3 1 4 0 5 1 2    8*w_4_118
# 1 2 
2 4 -1   0 1 1 2 2 3 2 3    8*w_4_34
2 4 -1   0 1 1 2 2 3 2 4    16*w_4_35
2 4 -1   0 1 1 2 2 3 3 4    16*w_4_36
2 4 -1   0 1 1 2 2 5 2 4    8*w_4_37
2 4 -1   0 1 1 2 2 5 3 4    16*w_4_38
2 4 -1   0 1 1 2 3 5 3 4    8*w_4_39
2 4 -1   0 1 1 4 2 3 2 3    16*w_4_48
2 4 -1   0 1 1 4 2 3 2 4    16*w_4_49
2 4 -1   0 1 1 4 2 3 3 4    16*w_4_50
2 4 -1   0 1 1 4 2 5 2 3    16*w_4_51
2 4 -1   0 1 1 4 2 5 2 4    16*w_4_52
2 4 -1   0 1 1 4 2 5 3 4    16*w_4_53
2 4 -1   0 1 1 4 3 5 2 3    16*w_4_54
2 4 -1   0 1 1 4 3 5 2 4    16*w_4_55
2 4 1   0 3 1 4 1 3 3 4    16*w_4_67
2 4 -1   0 3 1 4 1 3 2 3    16*w_4_68
2 4 -1   0 3 1 4 1 3 2 4    16*w_4_69
2 4 0   0 3 4 5 1 5 1 4    0
2 4 -1   0 3 2 4 1 5 1 4    16*w_4_70
2 4 1   0 3 1 4 1 2 3 4    16*w_4_80
2 4 -1   0 3 1 4 1 2 2 3    16*w_4_81
2 4 -1   0 3 1 4 1 2 2 4    16*w_4_82
2 4 -1   0 3 1 2 1 3 3 4    16*w_4_88
2 4 -1   0 3 1 2 1 3 2 4    16*w_4_89
2 4 -1   0 3 1 2 1 3 2 3    16*w_4_90
2 4 -1   0 3 4 5 1 2 1 4    16*w_4_93
2 4 -1   0 3 2 4 1 5 1 2    16*w_4_94
2 4 -1   0 3 2 4 1 2 1 4    16*w_4_95
2 4 1   0 3 1 4 1 5 3 4    16*w_4_96
2 4 -1   0 3 1 4 3 5 1 3    16*w_4_97
2 4 -1   0 3 4 5 1 3 1 4    16*w_4_98
2 4 -1   0 3 1 4 1 5 2 3    16*w_4_99
2 4 -1   0 3 1 4 2 5 1 3    16*w_4_100
2 4 -1   0 3 2 4 1 5 1 3    16*w_4_101
2 4 -1   0 3 1 4 1 5 2 4    16*w_4_102
2 4 -1   0 3 1 4 2 3 1 3    16*w_4_103
2 4 -1   0 3 2 4 1 3 1 4    16*w_4_104
2 4 -1   0 3 1 2 1 2 2 3    16*w_4_108
2 4 1   0 3 1 2 1 2 3 4    16*w_4_109
2 4 1   0 3 1 2 1 2 2 4    16*w_4_110
2 4 -1   0 3 1 2 1 5 2 3    16*w_4_111
2 4 1   0 3 1 2 1 5 3 4    16*w_4_112
2 4 1   0 3 1 2 1 5 2 4    16*w_4_113
2 4 -1   0 3 1 4 2 5 1 2    16*w_4_119
2 4 -1   0 3 1 4 3 5 1 2    16*w_4_120
2 4 1   0 3 1 4 2 3 1 2    16*w_4_121
2 4 -1   0 3 2 4 1 2 1 2    16*w_4_122
2 4 -1   0 3 2 4 1 2 1 3    16*w_4_123
2 4 1   0 3 1 4 2 3 1 4    16*w_4_124
2 4 0   0 3 4 5 1 2 1 2    0
